 !, doc.freq 3, pointer: 0
 $, doc.freq 2, pointer: 25
 1,048,884,000, doc.freq 1, pointer: 135356
 1,050, doc.freq 1, pointer: 135363
 1,051,000, doc.freq 1, pointer: 135370
 1,053,000, doc.freq 1, pointer: 135377
 1,053.0, doc.freq 1, pointer: 135384
 1,054,000, doc.freq 3, pointer: 135392
 1,055,000, doc.freq 1, pointer: 135416
 1,055.0, doc.freq 1, pointer: 135423
 1,056,000, doc.freq 3, pointer: 135431
 1,056,452, doc.freq 1, pointer: 135453
 1,057.50, doc.freq 1, pointer: 135460
 1,058,000, doc.freq 1, pointer: 135468
 1,058,503, doc.freq 1, pointer: 135476
 1,058,585, doc.freq 1, pointer: 135483
 1,058.6, doc.freq 1, pointer: 135491
 1,060,848, doc.freq 1, pointer: 135499
 1,061,000, doc.freq 1, pointer: 135507
 1,062,000, doc.freq 2, pointer: 135514
 1,062,837, doc.freq 1, pointer: 135533
 1,063, doc.freq 1, pointer: 135540
 1,063,000, doc.freq 4, pointer: 135547
 1,063,623, doc.freq 1, pointer: 135575
 1,064,000, doc.freq 2, pointer: 135582
 1,064,489, doc.freq 1, pointer: 135599
 1,068,000, doc.freq 2, pointer: 135606
 1,068,850, doc.freq 1, pointer: 135623
 1,068,905, doc.freq 1, pointer: 135630
 1,069,000, doc.freq 3, pointer: 135638
 1,069,550, doc.freq 1, pointer: 135660
 1,070,000, doc.freq 3, pointer: 135668
 1,071,000, doc.freq 1, pointer: 135692
 1,072,686, doc.freq 1, pointer: 135699
 1,074,000, doc.freq 1, pointer: 135706
 1,074,624, doc.freq 1, pointer: 135713
 1,075, doc.freq 1, pointer: 135720
 1,075.0, doc.freq 1, pointer: 135727
 1,075.20, doc.freq 1, pointer: 135735
 1,076, doc.freq 1, pointer: 135743
 1,076,000, doc.freq 2, pointer: 135750
 1,076,226, doc.freq 1, pointer: 135767
 1,076.1, doc.freq 1, pointer: 135775
 1,079,000, doc.freq 1, pointer: 135782
 1,079,100, doc.freq 1, pointer: 135789
 1,079,165, doc.freq 1, pointer: 135796
 1,079.00, doc.freq 1, pointer: 135803
 1,080,068, doc.freq 1, pointer: 135811
 1,081,000, doc.freq 1, pointer: 135818
 1,081,600, doc.freq 1, pointer: 135825
 1,081,915, doc.freq 1, pointer: 135833
 1,082,700, doc.freq 1, pointer: 135840
 1,082.50, doc.freq 1, pointer: 135847
 1,083,800, doc.freq 1, pointer: 135855
 1,084, doc.freq 2, pointer: 135862
 1,084.2, doc.freq 1, pointer: 135878
 1,086,000, doc.freq 1, pointer: 135886
 1,087,000, doc.freq 1, pointer: 135893
 1,088,000, doc.freq 2, pointer: 135900
 1,090, doc.freq 2, pointer: 135919
 1,091,000, doc.freq 1, pointer: 135936
 1,091,023, doc.freq 1, pointer: 135943
 1,091,392, doc.freq 2, pointer: 135951
 1,091,461, doc.freq 1, pointer: 135968
 1,092,000, doc.freq 1, pointer: 135975
 1,094,331, doc.freq 1, pointer: 135982
 1,095,000, doc.freq 1, pointer: 135989
 1,095,991, doc.freq 1, pointer: 135996
 1,095.50, doc.freq 1, pointer: 136003
 1,096,332, doc.freq 2, pointer: 136011
 1,098,000, doc.freq 3, pointer: 136028
 1,098,978, doc.freq 1, pointer: 136050
 1,099,778, doc.freq 1, pointer: 136057
 1,100, doc.freq 6, pointer: 136065
 1,100,000, doc.freq 6, pointer: 136106
 1,101,000, doc.freq 1, pointer: 136149
 1,101,633, doc.freq 1, pointer: 136155
 1,102,592, doc.freq 1, pointer: 136162
 1,103,000, doc.freq 3, pointer: 136169
 1,104,000, doc.freq 2, pointer: 136191
 1,104,472, doc.freq 1, pointer: 136208
 1,105,555, doc.freq 1, pointer: 136216
 1,106,500, doc.freq 1, pointer: 136223
 1,107,000, doc.freq 1, pointer: 136231
 1,108,151, doc.freq 1, pointer: 136239
 1,108,314, doc.freq 1, pointer: 136246
 1,109,000, doc.freq 2, pointer: 136253
 1,110,484, doc.freq 1, pointer: 136270
 1,112,000, doc.freq 1, pointer: 136278
 1,113,000, doc.freq 1, pointer: 136286
 1,113,500-share, doc.freq 1, pointer: 136294
 1,115,000, doc.freq 1, pointer: 136302
 1,115.4, doc.freq 1, pointer: 136310
 1,116,857, doc.freq 1, pointer: 136318
 1,116.6, doc.freq 1, pointer: 136325
 1,117,747, doc.freq 1, pointer: 136333
 1,119,000, doc.freq 1, pointer: 136340
 1,119,626, doc.freq 1, pointer: 136347
 1,119,925, doc.freq 1, pointer: 136354
 1,120, doc.freq 1, pointer: 136361
 1,120,000, doc.freq 1, pointer: 136369
 1,121,000, doc.freq 2, pointer: 136376
 1,121,664, doc.freq 1, pointer: 136395
 1,122,000, doc.freq 3, pointer: 136403
 1,122.00, doc.freq 1, pointer: 136425
 1,123,000, doc.freq 1, pointer: 136433
 1,124,805, doc.freq 1, pointer: 136440
 1,125,000, doc.freq 3, pointer: 136447
 1,126,000, doc.freq 1, pointer: 136469
 1,126,315, doc.freq 1, pointer: 136476
 1,128,160, doc.freq 1, pointer: 136483
 1,128,412, doc.freq 1, pointer: 136491
 1,128,600, doc.freq 1, pointer: 136499
 1,129,000, doc.freq 1, pointer: 136507
 1,129.78, doc.freq 1, pointer: 136515
 1,130,000, doc.freq 2, pointer: 136523
 1,131,000, doc.freq 1, pointer: 136540
 1,133,000, doc.freq 1, pointer: 136548
 1,135,000, doc.freq 2, pointer: 136556
 1,135,805, doc.freq 1, pointer: 136573
 1,136, doc.freq 1, pointer: 136581
 1,136,785, doc.freq 1, pointer: 136588
 1,137,000, doc.freq 2, pointer: 136595
 1,140,000, doc.freq 2, pointer: 136612
 1,140,270, doc.freq 1, pointer: 136628
 1,140.4, doc.freq 1, pointer: 136635
 1,141,000, doc.freq 2, pointer: 136643
 1,142, doc.freq 1, pointer: 136662
 1,142,000, doc.freq 2, pointer: 136669
 1,144,000, doc.freq 1, pointer: 136684
 1,145, doc.freq 3, pointer: 136691
 1,147,000, doc.freq 1, pointer: 136715
 1,148,000, doc.freq 1, pointer: 136723
 1,148,476, doc.freq 1, pointer: 136730
 1,150, doc.freq 1, pointer: 136737
 1,150,000, doc.freq 2, pointer: 136744
 1,150,633, doc.freq 1, pointer: 136764
 1,150,961, doc.freq 1, pointer: 136770
 1,151,176, doc.freq 1, pointer: 136777
 1,151,330, doc.freq 1, pointer: 136784
 1,1512,000, doc.freq 1, pointer: 136791
 1,152,000, doc.freq 1, pointer: 136798
 1,152,746, doc.freq 1, pointer: 136805
 1,153,000, doc.freq 1, pointer: 136812
 1,153,280, doc.freq 1, pointer: 136819
 1,155,000, doc.freq 2, pointer: 136827
 1,156,100, doc.freq 1, pointer: 136844
 1,157,883, doc.freq 2, pointer: 136852
 1,158,000, doc.freq 2, pointer: 136868
 1,160,000, doc.freq 1, pointer: 136885
 1,160,178, doc.freq 1, pointer: 136893
 1,161,000, doc.freq 1, pointer: 136901
 1,162,000, doc.freq 2, pointer: 136908
 1,162,678, doc.freq 1, pointer: 136927
 1,165,000, doc.freq 2, pointer: 136934
 1,165,186, doc.freq 1, pointer: 136950
 1,167,000, doc.freq 4, pointer: 136957
 1,168, doc.freq 1, pointer: 136984
 1,168,638, doc.freq 1, pointer: 136991
 1,170,400, doc.freq 1, pointer: 136998
 1,171,000, doc.freq 1, pointer: 137006
 1,172,039, doc.freq 1, pointer: 137013
 1,173,000, doc.freq 1, pointer: 137021
 1,175,000, doc.freq 2, pointer: 137028
 1,177,000, doc.freq 2, pointer: 137047
 1,177,434, doc.freq 1, pointer: 137066
 1,177,786, doc.freq 1, pointer: 137073
 1,179,000, doc.freq 2, pointer: 137079
 1,180,000, doc.freq 1, pointer: 137096
 1,181.1, doc.freq 1, pointer: 137103
 1,184,000, doc.freq 1, pointer: 137111
 1,185,267, doc.freq 1, pointer: 137118
 1,186,000, doc.freq 1, pointer: 137125
 1,187,000, doc.freq 2, pointer: 137132
 1,190,000, doc.freq 1, pointer: 137151
 1,190,862, doc.freq 1, pointer: 137159
 1,192,000, doc.freq 1, pointer: 137167
 1,193,000, doc.freq 2, pointer: 137174
 1,194,556, doc.freq 1, pointer: 137191
 1,195,000, doc.freq 1, pointer: 137198
 1,197,700, doc.freq 1, pointer: 137205
 1,199,000, doc.freq 1, pointer: 137212
 1,199,791, doc.freq 1, pointer: 137218
 1,200, doc.freq 10, pointer: 137226
 1,200,000, doc.freq 7, pointer: 137301
 1,200,466, doc.freq 1, pointer: 137355
 1,200.00, doc.freq 1, pointer: 137362
 1,200/3,00, doc.freq 1, pointer: 137370
 1,204,080, doc.freq 1, pointer: 137378
 1,205, doc.freq 1, pointer: 137386
 1,205,000, doc.freq 1, pointer: 137393
 1,205.2, doc.freq 1, pointer: 137400
 1,208,000, doc.freq 1, pointer: 137407
 1,209,000, doc.freq 1, pointer: 137414
 1,211, doc.freq 1, pointer: 137421
 1,211,000, doc.freq 2, pointer: 137428
 1,211,465, doc.freq 1, pointer: 137445
 1,211,597, doc.freq 1, pointer: 137452
 1,212, doc.freq 1, pointer: 137460
 1,212,000, doc.freq 1, pointer: 137467
 1,215,000, doc.freq 1, pointer: 137474
 1,216,501, doc.freq 1, pointer: 137481
 1,217,000, doc.freq 1, pointer: 137488
 1,217,230, doc.freq 1, pointer: 137495
 1,217,981, doc.freq 1, pointer: 137502
 1,219,000, doc.freq 1, pointer: 137509
 1,220, doc.freq 1, pointer: 137517
 1,220,000, doc.freq 2, pointer: 137525
 1,222, doc.freq 1, pointer: 137544
 1,223.50, doc.freq 1, pointer: 137551
 1,225, doc.freq 1, pointer: 137559
 1,225,000, doc.freq 1, pointer: 137566
 1,226,597, doc.freq 1, pointer: 137573
 1,226,609, doc.freq 1, pointer: 137579
 1,230,041, doc.freq 1, pointer: 137587
 1,231.9, doc.freq 1, pointer: 137595
 1,232, doc.freq 1, pointer: 137603
 1,232,000, doc.freq 1, pointer: 137610
 1,232,200, doc.freq 1, pointer: 137616
 1,232,500, doc.freq 1, pointer: 137623
 1,233,136, doc.freq 1, pointer: 137631
 1,234,000, doc.freq 1, pointer: 137638
 1,235,000, doc.freq 3, pointer: 137645
 1,236,000, doc.freq 2, pointer: 137670
 1,236,347, doc.freq 1, pointer: 137687
 1,237,100, doc.freq 1, pointer: 137694
 1,237,850, doc.freq 1, pointer: 137701
 1,238,000, doc.freq 1, pointer: 137709
 1,239,000, doc.freq 1, pointer: 137716
 1,240, doc.freq 1, pointer: 137723
 1,240,000, doc.freq 1, pointer: 137730
 1,241,000, doc.freq 1, pointer: 137737
 1,245,000, doc.freq 1, pointer: 137744
 1,246,000, doc.freq 1, pointer: 137751
 1,246,992, doc.freq 1, pointer: 137758
 1,247,000, doc.freq 2, pointer: 137765
 1,248,000, doc.freq 2, pointer: 137782
 1,249,000, doc.freq 3, pointer: 137801
 1,250, doc.freq 2, pointer: 137825
 1,250,000, doc.freq 3, pointer: 137844
 1,251,000, doc.freq 2, pointer: 137869
 1,251,337, doc.freq 1, pointer: 137886
 1,252,000, doc.freq 3, pointer: 137893
 1,255, doc.freq 1, pointer: 137915
 1,255,000, doc.freq 2, pointer: 137923
 1,255.50, doc.freq 1, pointer: 137940
 1,256.00, doc.freq 1, pointer: 137948
 1,259,164, doc.freq 1, pointer: 137956
 1,260, doc.freq 1, pointer: 137963
 1,261,000, doc.freq 1, pointer: 137971
 1,262,200, doc.freq 1, pointer: 137977
 1,263, doc.freq 1, pointer: 137984
 1,265, doc.freq 1, pointer: 137992
 1,265.50, doc.freq 1, pointer: 137999
 1,268,000, doc.freq 1, pointer: 138007
 1,268,847, doc.freq 1, pointer: 138014
 1,269,000, doc.freq 1, pointer: 138022
 1,270, doc.freq 1, pointer: 138029
 1,270,460, doc.freq 1, pointer: 138036
 1,271,972, doc.freq 1, pointer: 138042
 1,273,000, doc.freq 1, pointer: 138049
 1,274,000, doc.freq 1, pointer: 138056
 1,275,000, doc.freq 1, pointer: 138063
 1,276, doc.freq 1, pointer: 138070
 1,276,472, doc.freq 1, pointer: 138078
 1,277, doc.freq 1, pointer: 138084
 1,278,529, doc.freq 1, pointer: 138091
 1,279, doc.freq 1, pointer: 138099
 1,279,000, doc.freq 1, pointer: 138107
 1,280,185, doc.freq 1, pointer: 138114
 1,280,618, doc.freq 1, pointer: 138121
 1,280,727, doc.freq 2, pointer: 138128
 1,281,000, doc.freq 1, pointer: 138145
 1,281,887, doc.freq 1, pointer: 138152
 1,282,463, doc.freq 1, pointer: 138159
 1,283,000, doc.freq 1, pointer: 138166
 1,284.50, doc.freq 1, pointer: 138173
 1,285,000, doc.freq 2, pointer: 138181
 1,285,473, doc.freq 1, pointer: 138200
 1,286,000, doc.freq 1, pointer: 138207
 1,286,341, doc.freq 1, pointer: 138214
 1,287,000, doc.freq 1, pointer: 138221
 1,288,000, doc.freq 4, pointer: 138229
 1,289,000, doc.freq 1, pointer: 138257
